pid,id
ldpd:146339,3356050103
ldpd:146065,3408021701
ldpd:146095,3353050104
ldpd:146067,3552040101
ldpd:146097,3425020701
ldpd:146069,3554040701
ldpd:146091,3536050101
ldpd:146093,3504030104
ldpd:146063,3439020701
ldpd:146079,3439021201
ldpd:146061,3405081401
ldpd:146077,3329050301
ldpd:146057,3405070401
ldpd:146085,3353040401
ldpd:146351,3531060101
ldpd:146055,3202030401
ldpd:146083,3318010101
ldpd:146081,3536030301
ldpd:146051,3343030207
ldpd:146053,3413031001
ldpd:146189,3311110101
ldpd:146099,3311080108
ldpd:146223,3513020101
ldpd:146323,3353050103
ldpd:146319,3405080101
ldpd:146259,3324010101
ldpd:146291,3549050101
ldpd:146197,3302103701
ldpd:146141,3421050201
ldpd:146203,3418051201
ldpd:146245,3405070101
ldpd:146103,3435022201
ldpd:146237,3321030501
ldpd:146101,3330020901
ldpd:146263,3430020701
ldpd:146349,3353050109
ldpd:146333,3329050401
ldpd:146195,3435021001
ldpd:146207,3438031701
ldpd:146107,3439040101
ldpd:146109,3518060103
ldpd:146105,3345020401
ldpd:146273,3344010301
ldpd:146371,3529030102
ldpd:146363,3537050201
ldpd:146365,3304020102
ldpd:146199,3422010201
ldpd:146367,3415040102
ldpd:146369,3514020101
ldpd:146361,3301060102
ldpd:146359,3311100110
ldpd:146315,3308020101
ldpd:146353,3302020113
ldpd:146357,3509050402
ldpd:146355,3319070117
ldpd:146187,3320020101
ldpd:146377,3316010101
ldpd:146289,3506040202
ldpd:146375,3421062901
ldpd:146373,3524030303
ldpd:146321,3508040301
ldpd:146325,3537030102
ldpd:146161,3404021101
ldpd:146163,3303020101
ldpd:146329,3517050103
ldpd:146327,3319070121
ldpd:146265,3340020101
ldpd:146131,3532050301
ldpd:146153,3301020111
ldpd:146155,3340010102
ldpd:146159,3551010101
ldpd:146311,3307030101
ldpd:146173,3311100103
ldpd:146313,3557010801
ldpd:146171,3553040201
ldpd:146317,3512040401
ldpd:146167,3311091301
ldpd:146165,3517050402
ldpd:146169,3431030101
ldpd:146347,3433012801
ldpd:146183,3319070124
ldpd:146345,3548030101
ldpd:146185,3302100601
ldpd:146343,3301060401
ldpd:146341,3321030401
ldpd:146181,3531040104
ldpd:146179,3546060701
ldpd:146175,3344010101
ldpd:146177,3438030601
ldpd:146335,3405070301
ldpd:146251,3311093601
ldpd:146193,3202030301
ldpd:146247,3518050101
ldpd:146191,3408020501
ldpd:146331,3519010102
ldpd:146337,3351022001
ldpd:146111,3437020401
ldpd:146113,3344010201
ldpd:146277,3314020105
ldpd:146115,3511020202
ldpd:146117,3328040201
ldpd:146119,3507070101
ldpd:146123,3353020101
ldpd:146121,3504060201
ldpd:146127,3523050402
ldpd:146125,3319070120
ldpd:146129,3513020201
ldpd:146307,3302100901
ldpd:146305,3434040501
ldpd:146303,3554040201
ldpd:146301,3536040302
ldpd:146135,3554020105
ldpd:146137,3437040701
ldpd:146133,3533010201
ldpd:146139,3421061501
ldpd:146151,3404020601
ldpd:146149,3434060101
ldpd:146145,3404021801
ldpd:146143,3530010101
ldpd:146257,3404021601
ldpd:146283,3517030102
ldpd:146269,3438031401
ldpd:146279,3435022502
ldpd:146215,3301060501
ldpd:146213,3414010101
ldpd:146211,3523050203
ldpd:146219,3354030101
ldpd:146217,3528040201
ldpd:146225,3505040401
ldpd:146221,3430020301
ldpd:146227,3353050101
ldpd:146229,3304010102
ldpd:146201,3353040501
ldpd:146205,3349020501
ldpd:146209,3302020111
ldpd:146261,3512050104
ldpd:146297,3516040301
ldpd:146299,3548050701
ldpd:146281,3521020201
ldpd:146275,3328010401
ldpd:146295,3436010701
ldpd:146293,3334020101
ldpd:146287,3548030104
ldpd:146285,3350010101
ldpd:146253,3351041501
ldpd:146255,3302020101
ldpd:146271,3523040201
ldpd:146267,3502050104
ldpd:146239,3511050501
ldpd:146231,3351021201
ldpd:146233,3421060301
ldpd:146235,3550020101
ldpd:146249,3502040201
ldpd:146241,3439010201
ldpd:146839,3553040301
ldpd:146795,3421065001
ldpd:146567,3410030401
ldpd:146911,3404040201
ldpd:146521,3508040701
ldpd:146665,3530040201
ldpd:146725,3328030601
ldpd:146843,3301060801
ldpd:146819,3411030401
ldpd:146713,3413060101
ldpd:146417,3434040502
ldpd:146585,3305060102
ldpd:146491,3328031101
ldpd:146401,3347010113
ldpd:146595,3515040204
ldpd:146629,3302010103
ldpd:146467,3306020301
ldpd:147055,3311091401
ldpd:147057,3531040102
ldpd:146829,3434070110
ldpd:146727,3404020602
ldpd:146635,3351021102
ldpd:146443,3318010127
ldpd:146427,3404021901
ldpd:146479,3305010115
ldpd:146989,3304010101
ldpd:146851,3546040801
ldpd:146807,3333040101
ldpd:146809,3432040601
ldpd:147049,3537060101
ldpd:147045,3551010115
ldpd:147047,3311094001
ldpd:146999,3553050103
ldpd:147051,3433040101
ldpd:146483,3301020114
ldpd:147053,3405010601
ldpd:147059,3329050101
ldpd:147065,3319070114
ldpd:147063,3507060201
ldpd:147061,3358010801
ldpd:146471,3349040501
ldpd:147011,3307010103
ldpd:147067,3557011101
ldpd:147069,3537020102
ldpd:147071,3352040301
