"pid","id"
ldpd:286744,NYDA.1960.001.04387
ldpd:286664,NYDA.1960.001.03963
ldpd:286690,NYDA.1960.001.03005
ldpd:286667,NYDA.1960.001.00117
ldpd:286736,NYDA.1960.001.01882
ldpd:286759,NYDA.1960.001.02993R
ldpd:286661,NYDA.1960.001.03094
ldpd:286679,NYDA.1960.001.00317
ldpd:286678,NYDA.1960.001.01917
ldpd:286674,NYDA.1960.001.02188
ldpd:286672,NYDA.1960.001.01478
ldpd:286671,NYDA.1960.001.01538
ldpd:286743,NYDA.1960.001.01725
ldpd:286750,NYDA.1960.001.04384
ldpd:286688,NYDA.1960.001.03166
ldpd:286787,NYDA.1960.001.02239
ldpd:286680,NYDA.1960.001.00233
ldpd:286685,NYDA.1960.001.00131
ldpd:286699,NYDA.1960.001.04540
ldpd:286698,NYDA.1960.001.04725
ldpd:286696,NYDA.1960.001.00848
ldpd:286695,NYDA.1960.001.03260
ldpd:286694,NYDA.1960.001.00694
ldpd:286693,NYDA.1960.001.01247
ldpd:286755,NYDA.1960.001.03499
ldpd:286716,NYDA.1960.001.04200
ldpd:286777,NYDA.1960.001.03329
ldpd:286732,NYDA.1960.001.02292
ldpd:286775,NYDA.1960.001.03259
ldpd:286778,NYDA.1960.001.03626
ldpd:286713,NYDA.1960.001.03568
ldpd:286783,NYDA.1960.001.04138
ldpd:286721,NYDA.1960.001.02053
ldpd:286714,NYDA.1960.001.04086
ldpd:286724,NYDA.1960.001.03980
ldpd:286793,NYDA.1960.001.03760
ldpd:286789,NYDA.1960.001.03237
ldpd:286791,NYDA.1960.001.03664V
ldpd:286817,NYDA.1987.003.00126
ldpd:286814,NYDA.1960.001.00428
ldpd:286892,NYDA.1960.001.00070
ldpd:286901,NYDA.1960.001.03653
ldpd:286991,NYDA.1960.001.03510
ldpd:287062,NYDA.1960.001.02998
ldpd:286800,NYDA.1960.001.00952
ldpd:286911,NYDA.1960.001.04169
ldpd:286811,NYDA.1960.001.00519
ldpd:286997,NYDA.1960.001.03625
ldpd:286869,NYDA.1960.001.02258
ldpd:286972,NYDA.1960.001.02999
ldpd:287027,NYDA.1960.001.02457
ldpd:286919,NYDA.1960.001.03814
ldpd:287045,NYDA.1960.001.00690
ldpd:286808,NYDA.1960.001.01898V
ldpd:286939,NYDA.1960.001.01363
ldpd:286840,NYDA.1960.001.01650
ldpd:286804,NYDA.1960.001.00309R
ldpd:286796,NYDA.1960.001.00027
ldpd:286870,NYDA.1960.001.04749
ldpd:287014,NYDA.1960.001.02484
ldpd:287022,NYDA.1960.001.01069
ldpd:286923,NYDA.1960.001.04763
ldpd:286897,NYDA.1960.001.01162
ldpd:287046,NYDA.1960.001.02550
ldpd:286912,NYDA.1960.001.01056
ldpd:286813,NYDA.1960.001.02578
ldpd:286921,NYDA.1960.001.01804
ldpd:286815,NYDA.1960.001.02721
ldpd:286881,NYDA.1960.001.00726
ldpd:286807,NYDA.1960.001.02715
ldpd:287030,NYDA.1960.001.03232
ldpd:286854,NYDA.1960.001.01801
ldpd:286898,NYDA.1960.001.01500
ldpd:286880,NYDA.1960.001.04578V
ldpd:286887,NYDA.1960.001.00332
ldpd:287010,NYDA.1960.001.03602
ldpd:286865,NYDA.1960.001.03497
ldpd:287063,NYDA.1960.001.02237
ldpd:286828,NYDA.1960.001.03537
ldpd:286973,NYDA.1960.001.02044
ldpd:287013,NYDA.1960.001.03582
ldpd:286859,NYDA.1960.001.01280
ldpd:286805,NYDA.1960.001.00759
ldpd:286879,NYDA.1960.001.03468R
ldpd:286951,NYDA.1960.001.00757
ldpd:286833,NYDA.1960.001.02026
ldpd:286845,NYDA.1960.001.03096
ldpd:287023,NYDA.1960.001.01775
ldpd:286974,NYDA.1960.001.00201
ldpd:286916,NYDA.1960.001.00742
ldpd:286964,NYDA.1960.001.01218
ldpd:286936,NYDA.1960.001.02041
ldpd:286934,NYDA.1960.001.00153R
ldpd:286930,NYDA.1960.001.00072
